Ident ,DIM
100132HO ,394
100132HO ,360
100132HO ,221
100134HO ,271
100134HO ,180
100135CP ,303
100135HO ,207
100135HO ,202
100136HO ,386
100136HO ,266
100136HO ,350
100136HO ,284
100137HO ,201
100137HO ,172
100138HO ,437
100139HO ,380
100140HO ,308
100142HO ,158
100142HO ,141
100143HO ,476
100143ME   ,455
100147HO ,235
100148HO ,362
100148HO ,281
100150HO ,238
100150HO ,376
100151HO ,34
100152HO ,83
100154HO ,538
100154HO ,490
100154HO ,63
100156HO ,215
100156HO ,199
100157HO ,183
100157HO ,262
100157HO ,175
100157HO ,273
100157HO ,201
100158HO ,405
100160HO ,386
100160HO ,259
100160HO ,213
100164HO ,193
100167HO ,274
100167HO ,283
100167HO ,324
100170HO ,22
100170HO ,87
100175HO ,49
100178HO ,273
100178HO ,211
100178HO ,247
100178HO ,221
100178HO ,249
100178HO ,186
100179HO ,224
100184HO ,200
100185HO ,164
100191HO ,217
100193HO ,240
100193HO ,84
100195HO ,353
100195HO ,288
100195HO ,256
100195HO ,284
100196HO ,249
100196HO ,227
100196HO ,271
100196HO ,258
100196HO ,29
100197HO ,421
100197HO ,309
100197HO ,273
100197HO ,307
100199HO ,195
100199HO ,290
100200HO ,368
100200HO ,317
100200HO ,247
100200HO ,416
100200HO ,245
100201HO ,272
100201HO ,210
100202HO ,311
100202HO ,294
100202HO ,282
100202HO ,266
100202HO ,201
100203HO ,234
100203HO ,69
100204HO ,45
100206HO ,331
100206HO ,291
100207HO ,197
100207HO ,93
100207ME   ,9
100208HO ,291
100208HO ,262
100208HO ,197
100208HO ,391
100208HO ,328
100209HO ,355
100209HO ,259
100209HO ,203
100209HO ,285
100209HO ,225
100209HO ,232
100213HO ,39
100215CP ,434
100215CP ,406
100215CP ,384
100215CP ,300
100215HO ,168
100218HO ,265
100218HO ,202
100218HO ,170
100218HO ,203
100225HO ,385
100225HO ,251
100225HO ,239
100225HO ,276
100226HO ,493
100232HO ,264
100232HO ,263
100232HO ,230
100232HO ,234
100232HO ,210
100234HO ,274
100234HO ,282
100235HO ,154
100235HO ,188
100235HO ,259
100235HO ,249
100237HO ,355
100238HO ,431
100242CP   ,253
100242CP   ,113
100242CP   ,194
100242CP   ,200
100245CP ,158
100245CP ,273
100245CP ,212
100245CP ,197
100245CP ,280
100246CP   ,276
100246CP   ,238
100246CP   ,331
100247CP   ,109
100247CP   ,219
100247CP   ,160
100249CP ,249
100249CP ,421
100254HO ,51
100254HO ,33
100255HO ,281
100255HO ,235
100255HO ,104
100255HO ,357
100256HO ,278
100256HO ,299
100256HO ,76
100256HO ,314
100256HO ,281
100256HO ,263
100258HO ,358
100258HO ,364
100258HO ,406
100258HO ,337
100264CP   ,266
100264CP   ,164
100264CP   ,135
100264CP   ,188
100264CP   ,181
100268HO ,283
100268HO ,232
100268HO ,13
100278CP   ,273
100278CP   ,179
100278CP   ,245
100278CP   ,260
100280HO ,32
100291HO ,211
100297HO ,211
100297HO ,202
100297HO ,144
100297HO ,250
100297HO ,119
100297HO ,69
100299HO ,47
100301HO ,265
100301HO ,278
100301HO ,279
100309CP   ,221
100309CP   ,306
100309CP   ,220
100317HO ,159
100320HO ,312
100320HO ,361
100320HO ,285
100320HO ,219
100320HO ,358
100321HO ,48
100322HO ,228
100328HO ,271
100328HO ,200
100328HO ,182
100328HO ,161
100328HO ,213
100332HO ,42
100337CP   ,230
100337CP   ,226
100337CP   ,177
100337CP   ,96
100337CP   ,170
100338HO ,146
100338HO ,250
100338HO ,146
100338HO ,235
100338HO ,232
100338HO ,153
100339CP   ,241
100340HO ,451
100340HO ,426
100340HO ,462
100347HO ,250
100347HO ,299
100347HO ,262
100347HO ,265
100347HO ,249
100347HO ,344
100351CP   ,265
100351CP   ,168
100351CP   ,386
100351HO ,369
100352CP   ,514
100352CP   ,289
100352CP   ,269
100352CP   ,354
100352HO ,325
100352HO ,219
100352HO ,337
100352HO ,284
100370HO ,412
100370HO ,252
100370HO ,359
100373HO ,283
100373HO ,266
100373HO ,377
100377HO ,359
100377HO ,278
100377HO ,225
100377HO ,288
100377HO ,262
100377HO ,123
100387HO ,261
100387HO ,279
100387HO ,338
100387HO ,271
100387HO ,313
100388HO ,44
100388HO ,136
100388HO ,155
100388HO ,85
100389HO ,220
100389HO ,244
100389HO ,321
100389HO ,277
100389HO ,185
100394HO ,172
100394HO ,185
100402HO ,60
100406HO ,271
100406HO ,261
100412HO ,489
100412HO ,346
100412HO ,235
100412HO ,323
100413HO ,148
100413HO ,336
100413HO ,57
100417HO ,257
100417HO ,248
100417HO ,216
100417HO ,203
100417HO ,302
100417HO ,95
100419HO ,195
100419HO ,185
100423HO ,371
100423HO ,239
100423HO ,215
100423HO ,216
100423HO ,227
100424HO ,245
100425HO ,284
100425HO ,322
100425HO ,370
100429HO ,167
100430HO ,248
100430HO ,270
100430HO ,259
100431HO ,35
100433HO ,178
100434HO ,328
100434HO ,21
100435HO ,304
100435HO ,310
100435HO ,336
100435HO ,283
100435HO ,268
100436HO ,273
100437HO ,287
100437HO ,342
100438HO ,247
100438HO ,311
100439HO ,154
100440HO ,292
100440HO ,225
100440HO ,293
100440HO ,315
100440HO ,263
100441HO ,207
100441HO ,305
100441HO ,324
100443HO ,159
100448HO ,278
100448HO ,406
100448HO ,343
100448HO ,261
100448HO ,34
100450HO ,294
100450HO ,334
100450HO ,255
100451HO ,234
100451HO ,257
100451HO ,281
100451HO ,206
100451HO ,206
100451HO ,201
100451HO ,117
100452HO ,174
100452HO ,215
100452HO ,196
100458HO ,339
100458HO ,338
100458HO ,286
100458HO ,250
100459HO ,208
100460HO ,336
100460HO ,279
100460HO ,239
100460HO ,223
100461HO ,318
100461HO ,170
100461HO ,281
100461HO ,309
100461HO ,269
100463HO ,421
100464HO ,376
100476HO ,279
100476HO ,263
100476HO ,247
100476HO ,275
100476HO ,234
100480HO ,223
100481HO ,444
100481HO ,381
100485HO ,71
100485HO ,175
100487HO ,178
100489HO ,8
100497HO ,406
100497HO ,253
100497HO ,240
100497HO ,346
100497HO ,247
100498HO ,402
100498HO ,282
100498HO ,266
100498HO ,176
100498HO ,296
100504HO ,223
100504HO ,161
100504HO ,132
100505HO ,275
100505HO ,308
100505HO ,341
100505HO ,249
100509HO ,203
100509HO ,254
100510HO ,259
100510HO ,182
100520HO ,294
100526HO ,86
100527HO ,338
100529HO ,212
100529HO ,216
100529HO ,281
100529HO ,296
100530HO ,378
100530HO ,244
100530HO ,213
100530HO ,160
100534HO ,57
100534HO ,267
100534HO ,188
100539HO ,205
100539HO ,259
100539HO ,137
100539HO ,59
100540HO ,323
100540HO ,254
100540HO ,321
100542HO ,131
100544HO ,151
100544HO ,277
100544HO ,234
100544HO ,280
100544HO ,258
100544HO ,100
100551HO ,333
100551HO ,241
100551HO ,255
100551HO ,87
100552HO ,86
100561HO ,168
100563HO ,311
100563HO ,307
100563HO ,251
100563HO ,295
100563HO ,379
100564HO ,271
100576HO ,353
100600HO ,467
100602HO ,65
100602HO ,201
100602HO ,173
100602HO ,245
100602HO ,217
100602HO ,167
100603HO ,173
100618HO ,48
100618HO ,33
100620HO ,122
100621HO ,355
100621HO ,227
100621HO ,282
100621HO ,227
100621HO ,251
100622HO ,356
100622HO ,304
100622HO ,330
100622HO ,327
100625HO ,0
100625HO ,415
100625HO ,321
100626HO ,365
100626HO ,271
100626HO ,231
100626HO ,246
100626HO ,93
100629HO ,134
100629HO ,243
100649HO ,277
100649HO ,244
100661HO ,392
100661HO ,235
100661HO ,286
100661HO ,222
100661HO ,252
100665HO ,125
100669HO ,203
100669HO ,221
100669HO ,264
100671HO ,157
100671HO ,320
100671HO ,336
100671HO ,265
100671HO ,252
100671HO ,245
100674HO ,168
100674HO ,281
100674HO ,132
100678HO ,352
100678HO ,233
100678HO ,261
100678HO ,286
100678HO ,238
100678HO ,233
100681HO ,230
100681HO ,281
100681HO ,211
100681HO ,294
100681HO ,168
100682HO ,228
100682HO ,398
100685HO ,256
100685HO ,232
100685HO ,242
100685HO ,259
100685HO ,207
100705HO ,132
100707HO ,412
100708HO ,379
100708HO ,244
100708HO ,360
100708HO ,420
100721HO ,321
100721HO ,11
100738HO ,273
100743HO ,169
100743HO ,152
100744HO ,214
100744HO ,226
100744HO ,235
100744HO ,239
100745HO ,129
100745HO ,345
100747HO ,323
100747HO ,252
100747HO ,271
100747HO ,293
100747HO ,250
100747HO ,256
100764HO ,355
100764HO ,337
100764HO ,310
100767HO ,379
100767HO ,299
100767HO ,383
100767HO ,454
100769HO ,170
100769HO ,227
100769HO ,132
100769HO ,238
100769HO ,297
100769HO ,162
100770HO ,412
100770HO ,272
100770HO ,332
100783HO ,104
100783HO ,288
100783HO ,258
100785HO ,155
100786HO ,226
100786HO ,164
100788HO ,342
100788HO ,240
100788HO ,276
100788HO ,309
100789HO ,286
100807HO ,172
100810HO ,147
100816HO ,292
100824HO ,179
100824HO ,146
100827HO ,282
100827HO ,422
100844HO ,427
100844HO ,417
100844HO ,342
100844HO ,304
100845HO ,315
100845HO ,307
100845HO ,231
100845HO ,318
100853HO ,247
100853HO ,188
100853HO ,176
100856HO ,200
100859HO ,364
100859HO ,264
100859HO ,241
100859HO ,229
100870HO ,371
100886HO ,129
100886HO ,162
100887HO ,325
100887HO ,249
100887HO ,235
100887HO ,201
100887HO ,228
100889HO ,345
100889HO ,340
100889HO ,265
100889HO ,327
100889HO ,311
100890HO ,367
100890HO ,253
100890HO ,332
100890HO ,238
100890HO ,281
100890HO ,107
100898HO ,113
100901HO ,96
100902HO ,61
100902HO ,274
100902HO ,234
100902HO ,186
100935HO ,196
100935HO ,198
100935HO ,101
100935HO ,373
100935HO ,215
100937HO ,254
100937HO ,307
100937HO ,213
100939HO ,35
100941HO ,408
100941HO ,310
100941HO ,267
100941HO ,353
100941HO ,161
100948HO ,212
100948HO ,234
100948HO ,240
100948HO ,288
100948HO ,246
100948HO ,248
100949HO ,377
100949HO ,272
100949HO ,211
100953HO ,0
100953HO ,347
100953HO ,432
100955HO ,178
100955HO ,166
100955HO ,136
100958HO ,118
101000HO ,204
101000HO ,123
101004HO ,249
101004HO ,253
101004HO ,205
101004HO ,223
101004HO ,236
101004HO ,188
101005HO ,92
101005HO ,158
101005HO ,119
101084CP   ,464
101084CP   ,427
101084CP   ,347
101084CP   ,308
101084CP   ,44
110000HO ,297
110000HO ,354
110000HO ,274
110000HO ,227
110003CA   ,263
110003CA   ,274
110003CA   ,70
110008JE ,112
110009HO ,308
110009HO ,228
110009HO ,200
110009HO ,271
110009HO ,35
110012HO ,97
110016HO   ,0
110017HO ,191
110017HO ,258
110017HO ,227
110018HO ,257
110018HO ,234
110018HO ,233
110018HO ,272
110018HO ,193
110018HO ,156
110019HO ,217
110019HO ,165
110019HO ,93
110020HO ,346
110021HO ,333
110021HO ,366
110022JE ,159
110023HO ,256
110023HO ,317
110025HO ,43
110026JE ,226
110026JE ,178
110026JE ,197
110027HO ,363
110027HO ,460
110027HO ,510
110028HO ,273
110028HO ,203
110028HO ,251
110028HO ,375
110029HO ,158
110029HO ,188
110029HO ,220
110029HO ,218
110029HO ,154
110033HO ,206
110033HO ,208
110033HO ,164
110033HO ,203
110034HO ,187
110035HO ,244
110035HO ,182
110035HO ,232
110035HO ,237
110035HO ,202
110036HO ,243
110036HO ,207
110037HO ,249
110037HO ,160
110037HO ,222
110037HO ,196
110038HO ,221
110038HO ,168
110038HO ,158
110040HO ,242
110040HO ,271
110040HO ,61
110040HO ,217
110041HO ,236
110041HO ,279
110041HO ,215
110041HO ,264
110041HO ,354
110044HO ,246
110044HO ,186
110044HO ,371
110044HO ,256
110045HO ,396
110045HO ,179
110045HO ,299
110046HO ,237
110046HO ,94
110047HO ,304
110049JE   ,202
110049JE   ,234
110049JE   ,195
110049JE   ,298
110050JE ,297
110050JE ,205
110050JE ,250
110050JE ,146
110053HO ,277
110053HO ,222
110053HO ,128
110053HO ,100
110054HO ,235
110054HO ,282
110054HO ,287
110054HO ,252
110056HO ,223
110056HO ,350
110057HO   ,327
110058HO ,186
110058HO ,125
110059HO ,245
110059HO ,244
110059HO ,387
110059HO ,359
110060JE ,310
110060JE ,280
110060JE ,299
110060JE ,405
110061HO ,252
110063HO ,0
110064HO ,206
110064HO ,197
110064HO ,155
110065HO ,144
110065HO ,229
110065HO ,193
110065HO ,200
110066HO ,230
110066HO ,275
110066HO ,375
110066HO ,286
110067HO ,211
110069HO ,265
110070HO ,232
110070HO ,271
110070HO ,313
110070HO ,288
110070HO ,237
110071HO ,226
110075HO ,247
110075HO ,137
110076HO ,278
110076HO ,157
110078HO ,246
110078HO ,219
110078HO ,210
110081HO ,192
110081HO ,124
110081HO ,104
110082HO ,211
110084HO ,301
110096HO ,308
110096HO ,243
110096HO ,263
110096HO ,272
110098HO ,195
110098HO ,0
110100HO ,244
110100HO ,288
110100HO ,293
110100HO ,325
110100HO ,289
110102HO ,396
110102HO ,372
110106HO ,224
110106HO ,271
110106HO ,212
110106HO ,181
110106HO ,242
110114HO ,247
110114HO ,260
110114HO ,263
110114HO ,368
110115HO ,209
110115ME   ,245
110115ME   ,280
110116HO ,116
110116HO ,323
110116HO ,290
110116HO ,207
110118HO ,363
110118HO ,354
110118HO ,395
110120HO ,243
110120HO ,255
110120HO ,244
110120HO ,203
110126HO ,473
110126HO ,311
110128HO ,233
110128HO ,275
110128HO ,202
110128HO ,243
110128HO ,178
110135HO ,400
110135HO ,204
110136HO ,317
110136HO ,399
110136HO ,221
110139HO ,268
110139ME   ,322
110141HO ,272
110141HO ,364
110141HO ,204
110142HO ,328
110142HO ,422
110154HO ,220
110154HO ,279
110155HO ,432
110155HO ,222
110155HO ,350
110155HO ,92
110157HO ,244
110157HO ,0
110158HO ,345
110160HO ,340
110160HO ,124
110160HO ,222
110160HO ,203
110164HO ,259
110164HO ,329
110164HO ,264
110164HO ,170
110165HO ,253
110165HO ,250
110165HO ,149
110165HO ,123
110165HO ,314
110165HO ,9
110166HO ,215
110166HO ,224
110168HO ,85
110168HO ,232
110168HO ,164
110168HO ,169
110177HO ,426
110177HO ,277
110177HO ,250
110178HO ,212
110178HO ,323
110178HO ,120
110179HO ,290
110179HO ,120
110179HO ,145
110183HO ,216
110183HO ,198
110183HO ,157
110183HO ,202
110183HO ,151
110185HO ,224
110185HO ,247
110185HO ,258
110185HO ,158
110188HO ,254
110188HO ,365
110188HO ,238
110188HO ,217
110188HO ,157
110192HO ,473
110198HO ,192
110198HO ,163
110198HO ,200
110199HO ,261
110199HO ,213
110199HO ,326
110199HO ,349
110203HO ,279
110203HO ,137
110203HO ,200
110203HO ,133
110204ME   ,277
110205HO ,277
110205HO ,183
110205HO ,213
110205HO ,236
110207HO ,259
110207HO ,249
110208HO ,487
110208HO ,304
110208HO ,325
110209HO ,163
110209HO ,103
110212HO ,286
110212HO ,235
110212HO ,258
110212HO ,241
110212ME   ,18
110214HO ,159
110214HO ,374
110217HO ,82
110220HO ,331
110220HO ,254
110220HO ,154
110220HO ,276
110221HO ,351
110221HO ,421
110221HO ,315
110229HO ,331
110229HO ,272
110232HO ,235
110236HO ,393
110236HO ,342
110236HO ,230
110245HO ,279
110245HO ,112
110245HO ,179
110250HO ,282
110250HO ,199
110252HO ,183
110252HO ,122
110252HO ,112
110253HO ,466
110256HO ,271
110256HO ,185
110256HO ,276
110256HO ,279
110257HO ,239
110257HO ,246
110257HO ,256
110257HO ,303
110259HO ,253
110259HO ,200
110259HO ,248
110259HO ,209
110259HO ,248
110260HO ,239
110260HO ,131
110264HO ,208
110269HO ,470
110275HO ,280
110275HO ,222
110275HO ,239
110275HO ,282
110280HO ,256
110280HO ,263
110280HO ,270
110280HO ,20
110281HO ,196
110282HO   ,443
110282HO   ,330
110282HO   ,390
110287HO ,294
110287HO ,294
110287HO ,268
110287HO ,260
110290HO ,150
110291HO ,251
110291HO ,321
110291HO ,117
110291HO ,202
110291HO ,55
110298HO ,202
110298HO ,93
110298HO ,152
110304HO ,250
110304HO ,148
110304HO ,248
110304HO ,184
110305HO ,314
110305HO ,222
110314HO ,375
110314HO ,99
110314HO ,224
110314HO ,188
110316HO ,357
110316HO ,249
110316HO ,197
110316HO ,84
110319HO ,118
110319HO ,255
110319HO ,88
110329HO ,306
110329HO ,211
110329HO ,215
110329HO ,134
110335HO ,278
110335HO ,331
110335HO ,290
110335HO ,296
110337HO ,379
110337HO ,251
110337HO ,280
110338HO ,238
110338HO ,135
110338HO ,166
110339HO ,275
110339HO ,139
110339HO ,193
110340HO ,98
110341JE ,266
110341JE ,153
110342HO ,252
110342HO ,206
110342HO ,288
110342HO ,255
110342HO ,275
110343HO ,252
110343HO ,246
110343HO ,284
110343HO ,266
110343HO ,198
110355HO ,393
110358HO ,213
110358HO ,138
110359HO ,266
110359HO ,295
110359HO ,237
110359HO ,251
110359HO ,202
110360HO ,289
110360HO ,291
110360HO ,226
110360HO ,218
110360HO ,254
110367HO ,250
110367HO ,344
110367HO ,275
110367HO ,276
110370HO ,275
110370HO ,380
110370HO ,298
110370HO ,312
110376HO ,308
110376HO ,217
110382HO ,365
110382HO ,317
110382HO ,300
110382HO ,249
110406HO ,265
110406HO ,203
110406HO ,262
110406HO ,88
110410HO ,342
110410HO ,261
110410HO ,302
110410HO ,193
110412JE ,265
110412JE ,184
110412JE ,228
110412JE ,119
110413HO ,124
110413HO ,204
110413HO ,219
110413HO ,174
110417HO ,249
110417HO ,238
110417HO ,222
110417HO ,227
110417HO ,229
110424HO ,272
110424HO ,217
110424HO ,236
110424HO ,207
110424HO ,181
110426HO ,251
110426HO ,312
110426HO ,234
110426HO ,182
110438HO ,336
110438HO ,313
110438HO ,249
110439HO   ,339
110439HO   ,253
110439HO   ,336
110439HO   ,233
110442HO ,185
110442HO ,188
110443HO ,221
110443HO ,154
110450HO ,260
110450HO ,182
110450HO ,265
110450HO ,294
110454HO ,250
110454HO ,286
110454HO ,259
110454HO ,137
110462HO ,141
110474HO   ,442
110474HO   ,266
110474HO   ,284
110484HO ,195
110484HO ,150
110485HO ,420
110485HO ,296
110487HO ,282
110487HO ,272
110487HO ,260
110487HO ,193
110491HO ,157
110513HO ,205
110513HO ,116
110513HO ,332
110513HO ,219
110515HO ,194
110519HO ,255
110519HO ,178
110519HO ,209
110519HO ,231
110520HO ,302
110520HO ,359
110520HO ,262
110520HO ,324
110522HO ,252
110522HO ,136
110522HO ,47
110531HO ,438
110532HO ,303
110532HO ,320
110532HO ,293
110533HO ,265
110533HO ,210
110533HO ,254
110533HO ,337
110534HO ,118
110539HO ,242
110539HO ,182
110539HO ,60
110543HO ,240
110543HO ,359
110547JE ,302
110547JE ,193
110547JE ,217
110547JE ,173
110554HO ,224
110554HO ,314
110555HO ,270
110555HO ,362
110555HO ,285
110555HO ,261
110562HO ,246
110562HO ,251
110562HO ,286
110562HO ,193
110563HO ,174
110563HO ,59
110563HO ,70
110579HO ,272
110579HO ,153
110579HO ,163
110580HO ,267
110580HO ,199
110587HO ,260
110587HO ,282
110587HO ,286
110587HO ,281
110587HO ,254
110589HO ,218
110589HO ,203
110589HO ,206
110589HO ,254
110589HO ,64
110591HO ,389
110609HO ,247
110609HO ,148
110609HO ,163
110613HO ,245
110613HO ,60
110613HO ,61
110614HO ,160
110614HO ,2
110615HO ,275
110615HO ,273
110617HO ,275
110617HO ,136
110617HO ,279
110617HO ,200
110636HO ,365
110636HO ,243
110636HO ,222
110639HO ,231
110639HO ,132
110644HO ,239
110644HO ,140
110654HO ,351
110654HO ,346
110654HO ,330
110657HO ,160
110658HO ,254
110658HO ,351
110658HO ,313
110659HO ,238
110659HO ,241
110659HO ,336
110659HO ,272
110660HO ,126
110660HO ,134
110662HO ,280
110662HO ,303
110662HO ,382
110664HO ,286
110664HO ,159
110664HO ,297
110668HO ,261
110668HO ,320
110668HO ,276
110668HO ,300
110669HO ,257
110669HO ,233
110669HO ,174
110670HO ,246
110670HO ,148
110671HO ,161
110674HO ,294
110674HO ,213
110674HO ,205
110674HO ,225
110687HO ,321
110687HO ,177
110687HO ,212
110688HO ,219
110688HO ,223
110691HO ,238
110691HO ,275
110691HO ,233
110691HO ,234
110691HO ,233
110693HO ,131
110693HO ,150
110697HO ,487
110697HO ,374
110697HO ,155
110698HO ,280
110698HO ,136
110698HO ,268
110698HO ,284
110698HO ,180
110705HO ,214
110705HO ,331
110705HO ,124
110705HO ,202
110705HO ,111
110707HO   ,205
110707HO   ,138
110707HO   ,166
110707HO   ,137
110708HO ,243
110708HO ,160
110708HO ,226
110708HO ,213
110708HO ,239
110712HO ,290
110712HO ,436
110712HO ,238
110728HO ,252
110728HO ,256
110728HO ,272
110728HO ,290
110735HO ,330
110735HO ,212
110737HO ,235
110737HO ,206
110737HO ,198
110737HO ,211
110742HO ,265
110742HO ,284
110742HO ,236
110742HO ,263
110742HO ,260
110745HO ,324
110745HO ,255
110745HO ,176
110747HO ,147
110754HO ,299
110754HO ,304
110754HO ,274
110769HO ,361
110769HO ,246
110769HO ,295
110770HO ,301
110770HO ,287
110775HO ,180
110775HO ,120
110783HO ,244
110783HO ,286
110783HO ,320
110783HO ,308
110786HO ,219
110786HO ,196
110786HO ,212
110786HO ,288
110794HO ,370
110794HO ,360
110794HO ,164
110797HO ,250
110797HO ,305
110797HO ,171
110797HO ,287
110797HO ,119
110802HO ,263
110802HO ,202
110807HO ,350
110807HO ,124
110810HO ,262
110810HO ,233
110810HO ,366
110810HO ,255
110811HO ,242
110811HO ,192
110811HO ,236
110811HO ,220
110813HO ,237
110813HO ,172
110813HO ,155
110814HO ,194
110814HO ,92
110819HO ,249
110819HO ,146
110819HO ,222
110819HO ,260
110819HO ,226
110820HO ,278
110820HO ,252
110829HO ,253
110829HO ,67
110829HO ,33
110832HO ,277
110832HO ,178
110832HO ,323
110832HO ,262
110835HO ,297
110835HO ,83
110837HO ,291
110837HO ,203
110837HO ,269
110837HO ,157
110838HO ,298
110838HO ,226
110838HO ,236
110838HO ,248
110840HO ,76
110841HO ,257
110841HO ,194
110841HO ,233
110841HO ,210
110841HO ,174
110842HO ,250
110842HO ,195
110842HO ,214
110842HO ,209
110848HO ,244
110848HO ,258
110848HO ,209
110853HO ,260
110853HO ,264
110853HO ,253
110853HO ,223
110853HO ,287
110854HO ,254
110854HO ,143
110854HO ,222
110854HO ,265
110855HO ,0
110856HO ,278
110856HO ,226
110859HO ,209
110859HO ,252
110859HO ,314
110860HO ,247
110860HO ,285
110860HO ,263
110866HO ,349
110866HO ,257
110866HO ,205
110866HO ,237
110867HO ,223
110867HO ,142
110867HO ,196
110867HO ,191
110867HO ,50
110870HO ,69
110873HO ,242
110873HO ,124
110873HO ,212
110873HO ,241
110873HO ,166
110874HO ,275
110874HO ,266
110874HO ,253
110877HO ,337
110877HO ,179
110877HO ,252
110877HO ,204
110877HO ,131
110879HO ,256
110879HO ,162
110879HO ,175
110879HO ,225
110879HO ,197
110883HO ,256
110883HO ,241
110883HO ,321
110887HO ,284
110887HO ,159
110887HO ,235
110887HO ,218
110894HO ,322
110894HO ,225
110895HO ,244
110896HO ,486
110896HO ,214
110896HO ,219
110901HO ,261
110901HO ,291
110901HO ,287
110901HO ,276
110901HO ,265
110903HO ,199
110903HO ,225
110903HO ,264
110903HO ,214
110904HO ,112
110904HO ,98
110904HO ,282
110915HO ,289
110915HO ,202
110915HO ,229
110915HO ,258
110915HO ,165
110919HO ,65
110923HO ,479
110924HO ,284
110924HO ,87
110926HO ,264
110926HO ,293
110930HO ,266
110930HO ,290
110930HO ,233
110930HO ,294
110930HO ,221
110931HO ,270
110931HO ,233
110931HO ,139
110931HO ,224
110936HO   ,346
110936HO   ,312
110936HO   ,248
110940HO ,140
110940HO ,168
110945HO ,256
110945HO ,227
110945HO ,237
110946HO ,289
110946HO ,158
110949HO ,251
110949HO ,140
110957HO ,239
110957HO ,364
110957HO ,293
110957HO ,311
110961HO ,208
110961HO ,248
110967HO ,265
110967HO ,252
110967HO ,212
110968HO ,217
110968HO ,159
110969HO ,198
110969HO ,170
110969HO ,217
110969HO ,323
110970HO ,288
110970HO ,275
110970HO ,266
110971HO ,288
110971HO ,297
110971HO ,416
110972HO ,244
110972HO ,152
110972HO ,225
110972HO ,214
110975HO ,246
110975HO ,297
110975HO ,236
110975HO ,333
110979HO ,281
110979HO ,389
110982HO ,235
110982HO ,351
110986HO ,261
110986HO ,280
110986HO ,331
110990HO ,138
110990HO ,91
110990HO ,78
111003HO ,266
111003HO ,210
111003HO ,319
111003HO ,256
111005HO ,237
111005HO ,280
111005HO ,222
111005HO ,228
111016HO ,358
111016HO ,319
111016HO ,283
111016HO ,324
111019HO ,242
111019HO ,195
111019HO ,236
111019HO ,176
111019HO ,118
111024HO ,220
111024HO ,265
111024HO ,213
111024HO ,209
111024HO ,203
111029HO ,194
111029HO ,129
111031HO ,352
111031HO ,252
111031HO ,278
111031HO ,201
111049HO ,211
111049HO ,126
111049HO ,165
111049HO ,214
111050HO ,256
111050HO ,196
111050HO ,230
111050HO ,183
111053HO ,253
111053HO ,130
111053HO ,349
111053HO ,184
111054HO ,245
111054HO ,128
111054HO ,266
111054HO ,237
111054HO ,260
111068HO ,280
111068HO ,168
111068HO ,206
111068HO ,205
111070HO ,230
111070HO ,131
111070HO ,227
111070HO ,172
111073HO ,250
111073HO ,252
111073HO ,224
111073HO ,239
111073HO ,251
111084HO ,268
111084HO ,170
111084HO ,262
111084HO ,224
111084HO ,264
111097HO ,272
111097HO ,337
111097HO ,289
111097HO ,285
111106HO ,256
111106HO ,343
111106HO ,244
111106HO ,246
111106HO ,243
111109HO ,307
111109HO ,225
111109HO ,233
111109HO ,268
111124HO ,242
111124HO ,198
111124HO ,116
111126HO ,240
111126HO ,285
111126HO ,208
111126HO ,237
111126HO ,246
111131HO ,392
111131HO ,184
111131HO ,312
111131HO ,277
111142HO ,275
111142HO ,292
111142HO ,300
113389SD   ,327
113389SD   ,323
113389SD   ,230
113389SD   ,327
113406SD   ,146
113406SD   ,51
113422SD   ,337
113422SD   ,225
